name,lg,lt,ID4,ID6,electric
郑州-爱馨阳光城西门划线车位,113.673961,34.708074,8,8,45.55
郑州-电力职业学院划线车位,113.897451,34.796644,1,5,47.5
郑州-工商学院6号门划线车位,113.893817,34.79301,1,3,56.85
郑州-中原文化艺术院划线车位,113.88792,34.782403,1,1,44.5
郑州-恭秀路划线车位,113.850914,34.759889,7,3,53.1
郑州-河南财政金融学院划线车位,113.861358,34.774895,7,3,66.18
郑州-河南行政学院划线车位,113.848082,34.781164,3,5,50.65
郑州-郑州财经学院北划线车位,113.60568,34.862487,1,8,59.84
郑州-锦艺四季城划线车位,113.624893,34.854042,10,2,52.43
郑州-郑州工程技术学院西门划线车位,113.626941,34.861615,4,5,70.56
郑州-开陇城1号院划线车位,113.63556,34.857551,4,4,63.02
郑州-郑州工程技术学院东门划线车位,113.632754,34.8621,4,5,64.78
郑州-万科天伦紫台销售中心地面划线停车位,113.64435,34.876579,6,3,59.86
郑州-虚拟网点,113.685863,34.86831,0,0,0.0
郑州-奥体公园地面停车场,113.539644,34.743922,3,2,61.8
郑州-郑州东站P2停车场,113.782003,34.75608,4,2,60.83
郑州-澍青医学院西2门口划线停车位,113.530879,34.698477,7,8,50.13
郑州-黄河护理学院,113.529174,34.786551,5,6,58.49
郑州-锦和苑莲花街北辅道划线停车位,113.525691,34.827444,4,6,50.22
郑州-锦艺金水湾观澜苑划线停车位,113.654943,34.848697,1,0,93.0
郑州-绿地之窗普惠路路边划线车位,113.771328,34.760835,2,0,89.0
郑州-万达南停车场,113.603209,34.743035,4,3,53.94
郑州-兰德新天地购物中心停车场,113.626008,34.726984,5,1,56.83
郑州-新龙站停车场,113.681168,34.831298,3,1,65.85
郑州-旺坤临时停车场,113.637276,34.782272,6,2,51.65
郑州-大商建设路停车场,113.615252,34.754992,1,2,60.0
郑州-中原西路169号停车场,113.574188,34.747071,3,1,42.25
郑州-联创佳苑南门停车场,113.669001,34.692016,8,3,60.25
郑州-北郡2号停车场,113.628728,34.868584,2,2,56.3
郑州-长江路停车场,113.643342,34.710553,4,0,80.2
郑州-绿荫半岛划线车位,113.399759,34.768745,3,1,37.25
郑州-郑氏三公广场台上停车场,113.414484,34.772999,1,3,56.35
郑州-尹玉花筋骨中医院地面停车场,113.446624,34.769298,3,3,56.47
郑州-清华大溪地1号院划线车位,113.44388,34.754424,5,1,69.47
郑州-奥帕拉拉水公园划线停车位,113.449395,34.752876,5,3,53.3
郑州-龙子湖小学划线停车位,113.797643,34.813794,4,2,58.47
郑州-龙翔嘉苑划线停车位,113.765904,34.817083,4,4,50.25
郑州-民生西街划线停车位,113.746429,34.767604,5,0,54.2
郑州-恒一雅居划线停车位,113.856054,34.768264,9,2,60.16
郑州-人文路划线停车位,113.932947,34.720038,4,3,45.09
郑州-滨河路划线停车位,113.938718,34.72625,1,1,56.0
郑州-康平湖地铁口划线停车位,113.853063,34.583873,2,4,44.77
郑州-紫辰路划线停车位,113.716161,34.685728,10,2,60.65
郑州-经北三路划线停车位,113.744337,34.728372,4,0,59.45
郑州-永丰新城紫辰路划线车位,113.69668,34.702973,0,0,0.0
郑州-丰泽新苑祥安路划线车位,113.702744,34.604223,0,0,0.0
郑州-润之星商务酒店划线车位,113.898359,34.704627,2,1,69.27
郑州-电影小镇划线车位,113.997797,34.777756,2,3,50.8
郑州-《只有河南》戏剧幻城划线车位,114.00243,34.801532,1,4,50.72
郑州-龙子湖地铁口停车场,113.810843,34.791205,1,2,73.0
郑州-普济路停车场,113.774201,34.753351,2,1,53.0
郑州-九如路停车场,113.740314,34.782398,1,2,61.0
郑州-寿丰街心怡路停车场,113.774606,34.746829,3,1,48.4
郑州-陇海路停车场,113.765229,34.737029,2,2,49.0
郑州-郑州电气工程技工学校划线停车位,113.898921,34.706787,2,0,50.0
郑州-昇达经贸管理学院划线停车位,113.693613,34.594153,3,4,42.4
郑州-龙湖御景路边划线停车位,113.694482,34.607706,1,3,58.95
郑州-新郑市人民医院划线停车位,113.773759,34.411959,2,6,54.5
郑州-郑州西亚斯大学划线停车位,113.763163,34.409045,22,5,51.9
郑州-经开第四大街划线车位,113.750488,34.697079,0,1,85.0
郑州-海马汽车公寓划线停车位,113.79506,34.718485,3,2,38.8
郑州-民生路划线停车位,113.749694,34.765959,10,3,48.46
郑州-马头岗街划线停车位,113.743327,34.8442,3,0,61.67
郑州-鸿宝路划线车位,113.723502,34.844622,0,0,0.0
郑州-首创奥特莱斯西划线停车场,113.504394,34.676483,1,2,71.33
郑州-明理路划线停车位,113.81172,34.80591,6,4,51.88
郑州-姚夏路划线停车位,113.80118,34.811597,1,3,57.55
郑州-凯旋国际大酒店路边画线停车位,113.527839,34.774368,9,1,53.1
郑州-河阳路翠柏路划线停车位,113.487724,34.818384,6,1,54.71
郑州-中原文化艺术学院荣昌路划线车位,113.897382,34.780002,1,0,53.0
郑州-马林新村划线车位,113.754582,34.842725,4,3,51.71
郑州-绿地中心南塔划线车位,113.766956,34.757209,4,1,54.24
郑州-七里河公园路边划线车位,113.7533,34.757248,6,4,46.12
郑州-春天里划线车位,113.91584,34.788092,1,1,51.5
郑州-湖滨路免费停车场,113.749603,34.415365,7,0,52.8
郑州-河南中医药大学划线车位,113.810569,34.781963,6,4,68.26
郑州-电厂路划线停车位,113.602923,34.78443,0,0,0.0
郑州-惠济区法院划线停车位,113.596879,34.888086,5,6,59.25
郑州-哈芙时代广场划线停车位,113.812172,34.393224,7,0,47.77
郑州-祭城相济路划线车位,113.770686,34.782983,4,5,44.56
郑州-绿博花园划线车位,113.965361,34.750379,1,2,48.87
郑州-经南五路划线车位,113.803996,34.710242,2,5,41.11
郑州-启福尚都划线停车位,113.557687,34.752629,9,1,56.78
郑州-杏花街划线停车位,113.644238,34.859001,2,1,47.33
郑州-翠竹街划线停车位,113.562413,34.816969,3,6,55.67
郑州-紫辰路融创城划线车位,113.711406,34.689961,6,4,58.2
郑州-浔江中路免费停车场,113.711937,34.660706,2,2,76.05
郑州-龙湖内环三全路划线停车位,113.706736,34.824627,7,1,51.65
郑州-孟祥路划线停车位,113.816843,34.58095,3,2,65.2
郑州-绿源路划线停车位,113.611362,34.887763,2,2,49.2
郑州-艺茂国际仓清华园路划线停车位,113.620292,34.858561,6,3,60.98
郑州-新世纪广场划线停车位,114.011146,34.725715,6,0,38.97
郑州-宝峰街商都大道划线停车位,113.964338,34.720074,4,0,61.85
郑州-郑州工业应用技术学院西校区划线停车位,113.711095,34.427943,7,5,71.57
郑州-瑞达路划线停车位,113.569345,34.796657,4,4,58.8
郑州-中心社区路边两侧划线停车位,113.722091,34.530971,2,3,51.56
郑州-郑新未来城购物广场划线停车位,113.744865,34.430745,11,5,63.41
郑州-黄帝故里划线停车位,113.726546,34.405202,4,2,36.53
郑州-新一城路边划线停车位,113.742419,34.422576,15,2,67.71
郑州-米兰小镇两侧划线停车位,113.759257,34.418624,4,1,58.88
郑州-金岱路地铁口划线停车位,113.737982,34.68573,4,1,47.0
郑州-润众4S店免费停车位,113.549791,34.782057,1,0,83.0
郑州-郑州云海停车场,113.691337,34.723702,4,1,46.2
郑州-郑州市便民停车场,113.709303,34.76212,2,1,82.67
郑州-正道花园百货停车场,113.682215,34.76888,3,0,66.33
郑州-秋澄街停车场,113.764767,34.79666,2,2,52.25
郑州-橡树城停车场,113.709796,34.709302,3,1,49.75
郑州-财富天阶停车场,113.771809,34.727078,4,1,64.8
郑州-丰业街划线停车位,113.576969,34.885023,8,2,42.94
郑州-长椿路划线停车位,113.54094,34.800133,2,9,61.29
郑州-茂源东街划线停车位,113.677082,34.861206,0,0,0.0
郑州-绿博园划线停车位,113.932524,34.780633,1,2,60.6
郑州-金茂府划线停车位,113.750295,34.793967,6,3,66.33
郑州-鑫苑逸品香山划线停车位,113.667489,34.86152,6,3,63.8
郑州-经北六路二大街南半幅划线停车位,113.745322,34.733272,0,1,69.0
郑州-花寨通站路划线停车位,113.686402,34.707112,10,5,52.56
郑州-长江一号长江东路划线停车位,113.663301,34.709999,2,2,36.25
郑州-明理南路经南四路划线停车位,113.808527,34.712813,3,3,56.4
郑州-丹尼斯经开第一大街划线停车位,113.73975,34.721691,2,0,65.5
郑州-世和小学第五大街划线停车位,113.754029,34.708385,2,0,56.5
郑州-千祥路十三大街划线停车位,113.787884,34.708829,3,1,69.8
郑州-胖沃惠济一号停车场,113.625635,34.81915,2,1,49.93
郑州-经开瑞锦小区竹林苑划线停车位,113.795108,34.707245,2,5,62.23
郑州-通信产业园第五大街划线停车位,113.754066,34.729295,0,0,0.0
郑州-河南豫海新迪奥迪4S店划线停车位,113.530944,34.804732,0,0,0.0
郑州-建业总部港A座划线停车位,113.731388,34.787517,2,1,49.0
郑州-建业总部港D座划线停车位,113.72981,34.785508,2,4,41.0
郑州-绿都澜湾青翠南路划线车位,113.687907,34.675903,3,1,66.1
郑州-长隆广场大学南路化纤停车位,113.644047,34.700796,4,3,40.46
郑州-盈润停车场,113.674031,34.819461,1,1,36.0
郑州-君来停车场,113.547392,34.80735,2,1,41.0
郑州-正商金域停车场,113.608888,34.76946,2,1,45.33
郑州-升龙6号院停车场,113.628354,34.723088,2,1,64.33
郑州-丽景苑停车场,113.631287,34.767223,2,2,46.85
郑州-二七万达停车场,113.643644,34.715824,1,2,58.67
郑州-鸿源停车场,113.745637,34.711729,2,1,53.67
郑州-金兰湾停车场,113.629399,34.825995,2,1,54.0
郑州-名车广场停车场,113.654858,34.720081,3,1,59.6
郑州-陇海路通泰路停车场,113.733732,34.738314,3,1,50.75
郑州-永茂世纪大厦停车场,113.700638,34.73848,3,1,48.5
郑州-魏河北路划线停车位,113.661576,34.84062,1,1,36.2
郑州-龙腾四街德润路划线停车位,113.713944,34.798103,6,0,48.17
郑州-郑州第七人民医院经南五路划线停车位,113.740562,34.71471,0,0,0.0
郑州-爱丽丝临时停车场,113.635663,34.822247,4,1,45.2
郑州-高砦北划线停车位,113.653433,34.706043,1,1,73.4
郑州-汇艺银河里榆林南路划线停车位,113.770496,34.753486,3,3,81.53
郑州-汉月路划线停车位,113.797522,34.749518,0,5,64.32
郑州-长柳路划线停车位,113.62143,34.835193,1,1,74.0
郑州-泷泽东路龙源东五街划线停车位,113.757678,34.82203,2,2,59.15
郑州-国家税务总局众旺路划线车位,113.757443,34.773195,1,8,44.67
郑州-国家电网省公司众旺路划线车位,113.759331,34.768472,1,7,45.65
郑州-郑州海洋馆国基路划线停车位,113.657711,34.819439,3,0,44.93
郑州-锦艺城停车场,113.60798,34.764744,2,2,59.7
郑州-宇通集团长椿路划线停车位,113.541068,34.79125,10,3,72.69
郑州-国家大学科技园东区外方路划线停车位,113.599493,34.795985,1,1,60.0
郑州-四季同达生态园路边划线车位,113.613301,34.853938,2,2,53.0
郑州-高新SOHO路边划线车位,113.487616,34.809855,2,1,56.33
郑州-商都嘉园白佛小区徐庄街划线停车位,113.808579,34.753997,1,1,54.5
郑州-华丰建材交易中心前程大道划线停车位,113.881448,34.717427,4,1,58.28
郑州-祥和居商都大道划线停车位,113.98258,34.71797,1,1,39.0
郑州-开封河大金明校区西门停车位,114.304463,34.817917,0,0,0.0
郑州-开封河大金明校区北门停车位,114.309394,34.822761,1,0,33.0
郑州-开封恒大未来城北门划线停车位,114.199782,34.801805,0,0,0.0
郑州-开封市民之家路边划线停车位,114.265445,34.802759,0,0,0.0
郑州-天泽城路边划线停车位,113.961553,34.716953,1,0,84.0
郑州-湖西路两侧划线停车位,113.576521,34.766769,5,6,57.75
郑州-莆田家园东侧划线停车位,113.825271,34.741793,3,2,51.8
郑州-正商东方港湾划线停车位,113.764525,34.7485,0,0,0.0
郑州-康平路划线停车位,113.76087,34.743076,0,0,0.0
郑州-永威山悦浅山美术馆,113.338122,34.736571,2,0,45.4
郑州-永威万山湖樾,113.377773,34.709094,2,0,56.0
郑州-永威溪樾划线停车位,113.431351,34.772584,2,1,69.47
郑州-永威南樾划线停车位,113.860793,34.580651,1,0,72.0
郑州-兴港永威和园划线停车位,113.853297,34.565225,1,1,77.5
郑州-郑上路划线停车位,113.402475,34.7774,2,1,60.0
郑州-郑上路万山路划线停车位,113.387348,34.781623,3,1,46.75
郑州-成皋路划线停车位,113.380809,34.778979,1,2,48.0
郑州-光明路划线停车位,113.536072,34.703965,7,4,70.85
郑州-紫东路农贸市场路边划线停车位,113.706063,34.709654,2,2,59.5
郑州-华山路划线停车位,113.59962,34.741671,0,0,0.0
郑州-昆仑望岳北门划线停车位,113.596575,34.740569,0,1,47.0
郑州-郑航街与建云街划线停车位,113.646627,34.704703,0,1,52.0
郑州-梁湖社区南门划线停车位,113.741592,34.706509,0,0,0.0
郑州-碧桂园天悦东门划线停车位,113.738113,34.705378,0,0,0.0
郑州-兰博基尼4S南侧划线停车位,113.737586,34.703831,3,0,73.67
郑州-盛和小区西侧路边划线停车位,113.733586,34.707262,1,0,41.0
郑州-阅山公馆西侧路边划线停车位,113.748834,34.707913,0,0,0.0
郑州-海珀兰轩南门划线停车位,113.739321,34.70354,1,1,46.6
郑州-东郡蓝湾东门划线停车位,113.735556,34.721785,1,2,66.67
郑州-七里河路阳光城划线停车位,113.713882,34.715333,1,0,25.0
郑州-创业路划线停车位,113.765934,34.760613,4,2,44.2
郑州-永威城营销中心划线停车位,113.693419,34.6832,3,3,68.0
郑州-和昌花漾里停车场,113.622275,34.80721,2,2,55.5
郑州-北刘庄新村外围停车场,113.686052,34.716408,3,1,63.5
郑州-沁河路划线停车位,113.623194,34.722984,0,0,0.0
郑州-启福铭都南侧划线停车位,113.618206,34.722949,0,0,0.0
郑州-启福华都东侧划线停车位,113.616887,34.723712,2,0,53.0
郑州-宏鑫花园东侧划线停车位,113.633118,34.704197,0,0,0.0
郑州-亚星万嘉百汇南侧划线停车位,113.631526,34.686541,6,9,57.77
郑州-泰宏建业国际城9号院南侧划线停车位,113.639565,34.683885,2,2,42.25
郑州-人和路米诺斯酒店划线停车位,113.640937,34.697868,7,3,64.82
郑州-高砦南划线停车位,113.654625,34.703741,3,6,54.31
郑州-翰林雅苑北侧划线停车位,113.913542,34.793051,2,1,60.27
郑州-姚店提西门划线停车位,113.781831,34.835866,0,2,52.6
郑州-万山停车场,113.642372,34.72897,4,1,50.6
郑州-永恒慧园南侧划线停车位,113.718164,34.739841,0,0,0.0
郑州-鑫苑中央花园划线车位,113.733133,34.759528,0,0,0.0
郑州-玉凤路划线停车位,113.710907,34.747699,0,0,0.0
郑州-绿都城长城路划线停车位,113.581877,34.743392,0,0,0.0
郑州-宏光鑫城花园划线停车位,113.741748,34.755725,0,0,0.0
郑州-发展东郡西门划线停车位,113.711069,34.758486,1,0,57.0
郑州-立春音乐酒馆划线停车位,113.710628,34.759654,0,0,0.0
郑州-永顺路划线停车位,113.85026,34.744979,4,2,67.17
郑州-经开第一大街划线停车位,113.738522,34.714203,0,1,52.0
郑州-兴国路划线停车位,113.560379,34.75061,6,0,42.83
郑州-电厂路悠园划线停车位,113.600818,34.772425,0,0,0.0
郑州-煤仓北街路边划线停车位,113.610983,34.774369,3,2,64.0
郑州-开封市民之家西侧划线停车位,114.262286,34.803078,0,0,0.0
郑州-淮河东路划线停车位,113.635287,34.728879,0,0,0.0
郑州-长江路建云街划线停车位,113.646601,34.708733,0,0,0.0
郑州-行云路划线停车位,113.650552,34.708153,2,1,51.0
郑州-沅江路居然之家南侧划线车位,113.659521,34.701653,5,5,50.34
郑州-丹枫路划线停车位,113.662616,34.694242,0,0,0.0
郑州-碧云路划线停车位,113.665332,34.695303,0,0,0.0
郑州-黄河科技学院附属医院划线停车位,113.679139,34.696104,0,0,0.0
郑州-黄河科技学院西门划线停车位,113.670499,34.689205,1,0,49.0
郑州-祥安路划线停车位,113.719501,34.604439,2,1,48.67
郑州-富田兴龙湾西侧划线停车位,113.712006,34.597678,0,0,0.0
郑州-河南检察职业学院南门划线停车位,113.706573,34.604307,0,0,0.0
郑州-岗南路划线停车位,113.714752,34.704579,0,1,64.0
郑州-德惠街划线停车位,113.805379,34.815161,1,0,37.2
郑州-亚星雅居停车场,113.633148,34.709596,3,1,65.0
郑州-农科院东广场停车场,113.681502,34.790759,2,1,63.93
郑州-姚寨临时停车场,113.7041,34.777674,2,2,44.9
郑州-银河路南广场第二停车场,113.651014,34.82511,2,1,48.67
郑州-惠文小区西门划线停车位,113.6227,34.878049,2,2,59.95
郑州-民航花园东侧划线停车位,113.751062,34.780419,3,0,52.27
郑州-天泽街划线停车位,113.738656,34.786205,2,0,57.0
郑州-金水区总医院路侧划线停车位,113.645243,34.822906,0,0,0.0
郑州-丰庆路划线车位,113.648634,34.827961,1,0,32.0
郑州-清华园路划线停车位,113.622064,34.873758,3,1,61.25
郑州-聚龙花园北侧划线停车位,113.60107,34.72284,0,0,0.0
郑州-荥阳福民路划线停车位,113.426911,34.785923,2,0,74.2
郑州-荥阳惠民路划线停车位,113.422046,34.786143,1,1,65.0
郑州-荥阳京城花园划线停车位,113.411454,34.787191,1,1,51.4
郑州-荥阳汜河路划线停车位,113.379404,34.7949,0,3,46.4
郑州-荥阳繁荣街划线停车位,113.433502,34.778303,4,1,53.48
郑州-荥阳香竹路划线停车位,113.412193,34.7806,0,0,0.0
郑州-荥阳永安街划线停车位,113.396518,34.7814,2,3,54.6
郑州-荥阳广武路划线停车位,113.399746,34.786107,0,2,46.5
郑州-经开第四大街经北五路划线停车位,113.750477,34.729557,0,1,51.0
